titles,community,price,sqfootage
Luxury Upgraded Duplex Podium Villa|Full Marina View,Dubai Marina,"AED 7,200,000","4,227"
Exclusive | Spacious | Private Swimming Pool,"District 9, Legacy Nova Villas","AED 2,599,000","3,524"
2 Mints walk to Pool and Park | Keys in hand |,"Casa Dora, Serena","AED 1,250,000","1,819"
Enchanting Community I Semi-Detached I Great Layout,Mudon,"AED 1,900,000","2,350"
Motivated Seller I Golf Course Community,"Expo Golf Villas, Emaar South","AED 925,000","1,855"
3 AND 4 BEDROOMS TOWNHOUSE SINGLE ROW FOR SALE,"Arabella Townhouses 2, Arabella Townhouses","AED 1,500,000","2,390"
TYPE 2M | 3BR | MAIDS | STUDY | AL REEM 2 BEAUTY,"Al Reem 2, Arabian Ranches","AED 1,800,000","2,470"
Maple Type 2 M 3 BR - Maid - Single Row - Garden.,"Maple 2, Maple at Dubai Hills Estate","AED 1,850,000","2,228"
3BR Spacious Villa | Maid  | Garden | Springs 3,"The Springs 3, The Springs","AED 1,800,000","2,302"
TYPE C  3 BED - MAIDS - NEAR POOL  - BRAND NEW,"Bella Casa, Serena","AED 1,250,000","1,882"
Breathtaking 3-5Br Sea Facing Villas At Sur La Mer,Jumeirah,"AED 4,600,000","3,705"
"Spacious 3,4BR-Townhouse in Lush Green Community l Emaar","The Valley, Dubai Land","AED 1,168,888","1,996"
3 to 4BR Townhouses in lush green community by Majid Al Futtaim.,"Tilal Al Ghaf, Dubai Land","AED 1,200,000","2,152"
New Phase-Villanova-La Rosa 3 to 4Br Townhouse,"La Rosa, Villanova","AED 1,278,000","1,947"
FASCINATING 3BR W/CURTAINS | KITCHEN EQUIPPED | LANDSCAPE ARTIFICIAL GRASS | PENDANT LAMPS,Dubai Land,"AED 1,650,000","2,723"
READY TO MOVE IN LUXURIOUS 3 BEDROOMS VILLA IN DAMAC HILLS,DAMAC Hills (Akoya by DAMAC),"AED 1,662,000","2,750"
Magnificent ready to move in VILLA for sale in AKOYA OXYGEN,"The Woods, Akoya Oxygen","AED 1,100,000","2,400"
"Villa 3M IN  GOOD CONDITION , VACANT","The Springs 12, The Springs","AED 1,800,000","2,010"
3 Bedroom Plus Maids Plus Study For Sale In Springs,"The Springs 14, The Springs","AED 2,308,888","2,750"
Close To Pool  Park | 3 Bedroom | Corner Unit | Type B,"Arabella Townhouses 2, Arabella Townhouses","AED 1,500,000","2,680"
Freehold Villa in Jumeirah 1 | Lamer Beach Access | NO DLD,Jumeirah,"AED 3,900,000","3,800"
3 BR Townhouse ! 5 Years payment Plan ! The Valley,"Eden, The Valley","AED 1,210,000","2,039"
GREAT ROI I MULTI OPTION WARSAN VILLA FOR SALE,"Warsan Village, Al Warsan","AED 1,390,000","2,013"
Spacious Fendi Styled 3BR Villa In Damac Hills,DAMAC Hills (Akoya by DAMAC),"AED 2,667,000","2,696"
Classic Style 3BR Villa with separate Maids room,"Mira Oasis 3, Mira Oasis","AED 1,345,000","2,421"
Great Deal for End user and Investor | 3 Bed+Maids | Serena,"Casa Dora, Serena","AED 1,250,000","2,016"
A COLLECTION OF OUR ELEGANT HOMES THE LUXURY VILLA DESIGNED BY FENDI,"Fendi Styled Villas, DAMAC Hills (Akoya by DAMAC)","AED 2,499,999","2,696"
today distress deal 3 bedrooms villa for sale in Arabian ranches casa villa type 2 rented with maid,"CASA at Arabian Ranches, Arabian Ranches 2","AED 3,100,000","4,360"
"Excellent Deal  3Bed, Price Negotiable, Call Now","Camelia, Arabian Ranches 2","AED 1,488,888","1,506"
Single Row Brand New 3bhk Great Deal Multiple unit,"Noor Townhouses, NSHAMA Town Square","AED 1,200,000","2,022"
Luxury Upgraded Duplex Podium Villa|Full Marina View,Dubai Marina,"AED 7,200,000","4,227"
Exclusive | Spacious | Private Swimming Pool,"District 9, Legacy Nova Villas","AED 2,599,000","3,524"
Motivated Seller I Golf Course Community,"Expo Golf Villas, Emaar South","AED 925,000","1,855"
Enchanting Community I Semi-Detached I Great Layout,Mudon,"AED 1,900,000","2,350"
2 Mints walk to Pool and Park | Keys in hand |,"Casa Dora, Serena","AED 1,250,000","1,819"
"Brand New Community, Spacious 3 bed and Maid Room","Maple 2, Maple at Dubai Hills Estate","AED 1,800,000","2,093"
"Handed over in 3 months, 3 bedroom with naids","Amaranta, Villanova","AED 1,329,000","1,987"
Single row | Middle unit | Near To Pool,"Arabella Townhouses 2, Arabella Townhouses","AED 1,575,000","2,000"
BEAUTIFUL GARDEN | FURNISHED |  OFFERS INVITED,"Zahra Townhouses, NSHAMA Town Square","AED 1,400,000","2,022"
3Bedroom | Middle Unit | Amaranta | Priced@ 1.2M,"Amaranta, Villanova","AED 1,200,000","1,530"
Exclusive Villa | Camel Track View | Single row,"Maple 2, Maple at Dubai Hills Estate","AED 1,820,000","2,228"
Wise Buy | 3 Bed+Maids | Exclusive | Serena,"Casa Dora, Serena","AED 1,250,000","2,016"
"3 Bed plus Maid, Single Row, Park View.","Mira Oasis 3, Mira Oasis","AED 1,275,000","2,236"
"3 Bed Plus Study, Brand New, Backing on Pool.","Mira Oasis 3, Mira Oasis","AED 1,450,000","2,565"
"3 Bed Plus Study, Brand New, Near Pool.","Mira Oasis 3, Mira Oasis","AED 1,300,000","2,372"
"3 Bed Plus Maid, Brand New, Facing Pool.","Mira Oasis 3, Mira Oasis","AED 1,300,000","2,295"
Golf Community / Ready to move  / Below OP,"Emaar South, Dubai South","AED 1,100,000","2,460"
3 Bed + Maid | Good Location |The Dreamz,"Al Furjan Villas, Al Furjan","AED 2,300,000","2,662"
Type 3E | Near to Park  Pool|Store Room,"Mira 2, Mira","AED 1,650,000","2,687"
Unfurnished|With Maids|Study| Vacating Nov2020,"JVC District 10, JVC Jumeirah Village Circle","AED 1,800,000","4,700"
Corner Villa|Semi Detached |Ideal Location,Falcon City of Wonders,"AED 1,850,000","3,131"
"3 Bedroom plus Maids, Well Located, Near to Handover.",The Villa,"AED 1,275,000","1,915"
Quortaj style| 3 bed + maid | Upgraded kitchen,"Al Furjan Villas, Al Furjan","AED 2,300,000","2,411"
"3 Bed Type B Villa Dubai Style, Al Furjan","Al Furjan Villas, Al Furjan","AED 1,800,000","2,411"
Beach Villa | Private Pool | Fully furnished,The Palm Jumeirah,"AED 19,000,000","7,806"
Type 3M | Landscaped Garden |Net ROI 7%|Mira,"Mira, Reem","AED 1,390,000","2,180"
Mirabella 8|Tenanted|Middle Unit For Sale,"Mirabella 8, Mirabella","AED 1,275,000","3,300"
3 bed + Maids I Heritage Large I Garden,Jumeirah Park,"AED 3,300,000","3,527"
*URGENT SALE* 3 BR villa in Falcon City | Corner Unit,Falcon City of Wonders,"AED 2,800,000","4,600"
Upgraded | Type 3S2 | Vacant | Lantana 01,"Villa Lantana 1, Dubai Science Park","AED 2,799,000","3,200"
Enchanting Community I Semi-Detached I Great Layout,Mudon,"AED 1,900,000","2,350"
2 Mints walk to Pool and Park | Keys in hand |,"Casa Dora, Serena","AED 1,250,000","1,819"
Motivated Seller I Golf Course Community,"Expo Golf Villas, Emaar South","AED 925,000","1,855"
Exclusive | Spacious | Private Swimming Pool,"District 9, Legacy Nova Villas","AED 2,599,000","3,524"
Luxury Upgraded Duplex Podium Villa|Full Marina View,Dubai Marina,"AED 7,200,000","4,227"
Lovely 3 Beds Detached Available at Lantana,"Villa Lantana 1, Dubai Science Park","AED 3,200,000","3,042"
Well-priced 3 Bed Serena - Casa Dora End Unit,"Bella Casa, Serena","AED 1,983,000","4,110"
Great price| Semi Detach|Type B|Walk to pool,DAMAC Hills (Akoya by DAMAC),"AED 1,950,000","3,064"
Exclusive| Opposite Park | Corner Plot | 2E | VOT,"The Springs 11, The Springs","AED 2,100,000","2,795"
Corner Unit| Private Pool | Close To Lake,"Al Reem 2, Arabian Ranches","AED 2,500,000","2,764"
Huge Plot | Quiet Location |3 BR + Study + Maids,"Palmera, Arabian Ranches","AED 2,650,000","2,936"
Ready |Bargain|New price for sale |Golf| Ensuited,"Pacifica, Akoya Oxygen","AED 1,090,000","1,881"
Single row |Corner I EndI New|Close to Park n Pool,"Casa Dora, Serena","AED 1,500,000","1,820"
Vacant | Unfurnished | Brand New | Type1 Mid Unit,"Noor Townhouses, NSHAMA Town Square","AED 1,290,000","2,022"
Vacant | Brand New | Semi Detached | Single Row,"Arabella Townhouses 2, Arabella Townhouses","AED 1,940,000","2,400"
3 Bedroom | Private Garden | 70/30 Payment Plan,Arabian Ranches 3,"AED 1,476,888","2,023"
One of the few stand alone villas | 40/60 P.P.,"La Rosa, Villanova","AED 2,300,000","2,204"
Emaar Expo Golf Villas | 1% Monthly| 3 Years PH,"Expo Golf Villas, Emaar South","AED 999,000","1,985"
Rent to own| Brand New | Luxury Villa,Motor City,"AED 3,200,000","3,334"
Luxury 3BR | Sidra 2 | Type E1 | Single Row,"Sidra Villas 1, Sidra Villas","AED 3,500,000","3,102"
"3 Bedroom plus Maids, Landscaped, Close to Pool.","Mira 2, Mira","AED 1,500,000","2,385"
Mira Oasis By Emaar | 2 Years PH | 4% DLD Off,"Mira 1, Mira","AED 1,901,888","2,372"
Last 2 days I No DLD fees I Pay 10% and Move in,"Urbana, Emaar South","AED 1,411,888","2,404"
3 BR villa For sale in Falcon City | Corner Unit,Falcon City of Wonders,"AED 2,800,000","4,600"
Emaar Spring |FREE SC 2 Years PH |10% ROI,Dubai Land,"AED 1,280,888","1,943"
Ready - 80% Post Handover - No Commission,"Mira Oasis 2, Mira Oasis","AED 1,691,888","2,373"
Motivated seller| 3 bed type 2| Close to Pool n Park,"Noor Townhouses, NSHAMA Town Square","AED 1,295,000","2,118"
3BR | Upgraded | Wide | Type E | Unfurnished,"The Springs 10, The Springs","AED 1,750,000","1,793"
XL Large Plot | Single Row | Opposite Pool  Park,Mudon,"AED 1,835,000","3,746"
"Mid Unit, 3 Bedroom, Near Entrance, Best Deal","Casa Dora, Serena","AED 1,320,000","2,030"
Motivated Seller I Golf Course Community,"Expo Golf Villas, Emaar South","AED 925,000","1,855"
Exclusive | Spacious | Private Swimming Pool,"District 9, Legacy Nova Villas","AED 2,599,000","3,524"
Enchanting Community I Semi-Detached I Great Layout,Mudon,"AED 1,900,000","2,350"
Luxury Upgraded Duplex Podium Villa|Full Marina View,Dubai Marina,"AED 7,200,000","4,227"
2 Mints walk to Pool and Park | Keys in hand |,"Casa Dora, Serena","AED 1,250,000","1,819"
Arabella !! 3 Beds + Maids !! Available for Sale !,"Arabella Townhouses 2, Arabella Townhouses","AED 1,525,000","2,071"
Resale| Grab This Opportunity Now | 3 BR Townhouse,"La Rosa, Villanova","AED 1,175,000","1,894"
Amazing Price | Stunning 3BR Modern Style Villa,"Cedre Villas, Dubai Silicon Oasis","AED 2,400,000","3,750"
EXCELLENT AND BRIGHT|3 BR Modern | Close to School,Dubai Silicon Oasis,"AED 2,500,000","3,750"
3BR+Maid Modern Style | Well Maintained | Freehold,"Cedre Villas, Dubai Silicon Oasis","AED 2,350,000","4,300"
Luxury Rahat Mudon single row villa with huge plot,"Rahat Villas, Mudon","AED 3,200,000","7,700"
Exclusive | Single Row | Opposite Park | Vacant,Arabian Ranches,"AED 3,200,000","3,216"
Pristine|W/ Maids room | Landscaped|Close to pool,"Deema 3, The Lakes","AED 3,500,000","3,392"
Brand New | Vacant | Corner Unit Townhouse,"Royal Golf Boutique Villas, Jumeirah Golf Estates","AED 1,700,000","1,930"
LARGE LANDSCAPED GARDEN | TENANTED | TYPE 2,"CASA at Arabian Ranches, Arabian Ranches 2","AED 2,620,000","3,143"
Available Now|Close to exit  | Type 2M | 3 Bed plus Maids,"Maple 2, Maple at Dubai Hills Estate","AED 1,875,000","2,228"
Exclusive/Unbeatable deal/3 bed saheel,"Saheel, Arabian Ranches","AED 2,499,999","3,216"
Type J - Vacant - Single Row,"Mira Oasis 2, Mira Oasis","AED 1,460,000","2,565"
Upgraded 3 Br Legacy Large Single Row District 6,"District 4, Jumeirah Park","AED 3,095,000","3,527"
New Listing Beautifully Landscaped 3 BR District 5,"District 4, Jumeirah Park","AED 2,750,000","3,063"
3 BR + Maids Regional Large Near Park District 7,"District 6, Jumeirah Park","AED 2,750,000","3,527"
Stunning 7440 sqft Plot 3Bedroom Legacy District 7,"District 6, Jumeirah Park","AED 2,985,000","3,527"
Upgraded 3 BR Regional Large Near Community Center,"District 6, Jumeirah Park","AED 2,750,000","3,527"
Price Reduced Legacy Large 3 Bedroom District 7,"District 6, Jumeirah Park","AED 2,650,000","3,527"
New  Exclusive|Stunning Saheel Upgraded Throughout,"Saheel, Arabian Ranches","AED 2,999,000","3,166"
New and Exclusive  Immaculately presented 3 bedroomed villa,"Lila, Arabian Ranches 2","AED 2,399,000","3,164"
Open house this Saturday! Viewing by appointment (2pm - 5pm),Arabian Ranches,"AED 3,399,000","3,216"
Corner plot| Type H | Opp. park and pool |,"Mira Oasis 3, Mira Oasis","AED 1,500,000","2,287"
"New l Lovely 3 bed Saheel villa, quiet location l full Park Vistas","Saheel, Arabian Ranches","AED 2,999,950","3,324"
Exclusive Modified Saheel / Great location.,"Saheel, Arabian Ranches","AED 2,699,999","3,166"
2 Mints walk to Pool and Park | Keys in hand |,"Casa Dora, Serena","AED 1,250,000","1,819"
Motivated Seller I Golf Course Community,"Expo Golf Villas, Emaar South","AED 925,000","1,855"
Exclusive | Spacious | Private Swimming Pool,"District 9, Legacy Nova Villas","AED 2,599,000","3,524"
Enchanting Community I Semi-Detached I Great Layout,Mudon,"AED 1,900,000","2,350"
Luxury Upgraded Duplex Podium Villa|Full Marina View,Dubai Marina,"AED 7,200,000","4,227"
Open House this Saturday! 11th July 2020 | 2pm - 3pm,"Saheel, Arabian Ranches","AED 2,799,999","3,495"
3 bed stand alone villa with large garden in Mudon,"Rahat Villas, Mudon","AED 2,799,999","5,863"
Amaranta | Single Row | Opposite Pool  Park,"Amaranta, Villanova","AED 1,200,000","1,735"
Tastefully Upgraded| Private pool | Al Reem,"Al Reem 2, Arabian Ranches","AED 2,450,000","2,788"
Exclusive/Full lake view/Reem 3 type 2 end,"Al Reem 3, Arabian Ranches","AED 2,399,999","2,788"
Saheel type 9| Park view| Vacant soon||,"Saheel, Arabian Ranches","AED 2,900,000","3,216"
"3 Bedroom Plus Study, Corner Plot, Single Row.","Mira Oasis 3, Mira Oasis","AED 1,450,000","2,539"
Motivated Seller| 3 Bedroom Type 1 | New Villa,"Noor Townhouses, NSHAMA Town Square","AED 1,250,000","2,190"
Single Row | Next to Community Center | End Unit,"Bella Casa, Serena","AED 1,794,000","1,936"
"EXCLUSIVE with PK! Type A, 3 Bed + Maids, Call Now","Mira Oasis 1, Mira Oasis","AED 1,230,000","2,295"
3BR with MR |Type THL |Brand new |vacant,DAMAC Hills (Akoya by DAMAC),"AED 1,900,000","3,800"
Almost Ready | 5-Year Service Charge Waived,"La Rosa, Villanova","AED 1,200,000","1,894"
Type 2 Single Row 3BR Townhouse | Laundry + Maids Room,"Safi, NSHAMA Town Square","AED 1,200,000","2,088"
3 Years FREE SC | Pay Only 25%  Move-In | 10% ROI,"Ruba, Arabian Ranches 3","AED 1,290,888","2,023"
"3BR+Maids Townhouse for sale in Dubailand, The Valley for AED 1.1M","The Valley, Dubai Land","AED 1,100,000","2,081"
Quality finishing | 3 bed+Maids | Exclusive | Serena,"Casa Dora, Serena","AED 1,250,000","2,016"
Close to the Entrance | Maple 1 I Near to Park  Pool,"Maple 1, Maple at Dubai Hills Estate","AED 1,725,000","2,228"
On Payment Plan | Type B | 3 Bed | Al Furjan,"Al Furjan Villas, Al Furjan","AED 2,250,000","2,409"
Motivated Seller | Type 1E | Springs 5,"The Springs 5, The Springs","AED 2,500,000","3,043"
On Payment Plan | 3 Bed | Al Furjan,"Al Furjan Villas, Al Furjan","AED 2,300,000","2,410"
"Freehold Sea side Townhouses for Sale, No Commission charges, Payment plan available .","Jumeirah 1, Jumeirah","AED 4,600,000","3,800"
Biggest size|Luxury w/lowest price in Just Cavalli,"Just Cavalli Villas, Akoya Oxygen","AED 900,000","1,200"
"Zinnia cluster ,green belt golf course - Brand New","Zinnia, The Roots Akoya Oxygen","AED 1,500,000","2,462"
On Payment Plan | 3 Bed | plus Maids | Al Furjan,"Al Furjan Villas, Al Furjan","AED 2,300,000","2,411"
Unfurnished 3 BR Townhouse for sale in Damac Hills-Flora for 2.3M,"The Flora, DAMAC Hills (Akoya by DAMAC)","AED 2,300,000","3,502"
Luxury Upgraded Duplex Podium Villa|Full Marina View,Dubai Marina,"AED 7,200,000","4,227"
Exclusive | Spacious | Private Swimming Pool,"District 9, Legacy Nova Villas","AED 2,599,000","3,524"
Enchanting Community I Semi-Detached I Great Layout,Mudon,"AED 1,900,000","2,350"
Motivated Seller I Golf Course Community,"Expo Golf Villas, Emaar South","AED 925,000","1,855"
2 Mints walk to Pool and Park | Keys in hand |,"Casa Dora, Serena","AED 1,250,000","1,819"
"Design you own villa|from 1,500,000 AED",DAMAC Hills (Akoya by DAMAC),"AED 1,500,000","1,592"
Off Plan | 3 BR Townhouse | The Valley,"The Valley, Dubai Land","AED 1,238,888","1,988"
Beautiful Park Facing End Unit in Alma 1,Arabian Ranches,"AED 2,650,000","3,153"
Off Plan Townhouse in a Charming Community,"Amaranta, Villanova","AED 1,300,000","1,894"
Must See | Upgraded Kitchen | 3 Bed Townhouse,"Uptown Mirdif, Mirdif","AED 2,100,000","2,400"
Best Price | Akoya Oxygen | 3 bed |Sale,"Aknan Villas, Vardon","AED 1,000,000","1,604"
Awesome Deal | 3bed +Maid | Brand New | Claret,Akoya Oxygen,"AED 850,000","1,882"
Brand New | 3 Bed+ Maid | Great Location,"Bella Casa, Serena","AED 1,199,999","1,820"
3BR+Maids|Spacious Unit|Green Belt|Type 1,"Noor Townhouses, NSHAMA Town Square","AED 1,150,000","2,036"
Spacious Townhouse | 3 Bhk+Maid | Must See,"Uptown Mirdif, Mirdif","AED 2,100,000","2,423"
5 yrs No Service Charge | 2 Yrs Post Handover PP,Arabian Ranches 3,"AED 1,150,000","1,941"
Type 9 | Park Backing | Quiet Location | Vacant,Arabian Ranches,"AED 2,900,000","3,216"
Type 1M| Landscaped | Close to Pool| VOT,"Mira 1, Mira","AED 1,900,000","2,615"
Beautifully Designed |End Unit | Close to Metro,"Al Furjan Villas, Al Furjan","AED 2,175,000","3,242"
Corner Unit | Rented | Upgraded | Well Priced,"Family Villas, Green Community West","AED 2,100,000","4,889"
Single row | New handover | Close to Park and Pool,"Casa Viva, Serena","AED 1,500,000","1,820"
Close to SOUK and on the Pool and Park.,"The Springs 7, The Springs","AED 2,400,000","2,740"
Soon To Be Vacant | Close To Pool | Top Location,"Family Villas, Green Community West","AED 2,450,000","4,033"
Great Location| Corner End Unit|Type B|Motivated seller,DAMAC Hills (Akoya by DAMAC),"AED 1,699,999","2,071"
Fully Upgraded | Lake View | One of a Kind,"Palmera 3, Palmera","AED 3,099,995","3,100"
