titles,community,price,sqfootage
Single Row | Next to Community Center | End Unit,Serena,"AED 1,794,000","1,936"
Luxury Upgraded Duplex Podium Villa|Full Marina View,Dubai Marina,"AED 7,200,000","4,227"
Exclusive | Spacious | Private Swimming Pool,"District 9, Legacy Nova Villas","AED 2,599,000","3,524"
Motivated Seller I Golf Course Community,"Expo Golf Villas, Emaar South","AED 925,000","1,855"
2 Mints walk to Pool and Park | Keys in hand |,"Casa Dora, Serena","AED 1,250,000","1,819"
Enchanting Community I Semi-Detached I Great Layout,Mudon,"AED 1,900,000","2,350"
"3 Bed Plus Study, Brand New, Close to Pool",Reem,"AED 1,300,000","2,372"
3 Bedroom | Alvorada Villa | Arabian Ranches,Arabian Ranches,"AED 3,300,000","3,765"
"3 Bed plus Maid, Backing on Pool, Nearly Ready.","Noor Townhouses, NSHAMA Town Square","AED 1,374,888","2,118"
Very Rare - Corner Large Plot 3 Bed in Casa Dora,Serena,"AED 1,983,000","1,936"
3 Bed plus Maid | Single Row | Park View,Reem,"AED 1,275,000","2,236"
3 Bed p Maid p Study | End Unit | Type 3E | Mira 1,Reem,"AED 1,550,000","3,193"
Hajar Stone | Modern Style | 3 Bed Arabic Home,Akoya Oxygen,"AED 1,100,000","2,458"
"Handover this year! 3 Bed plus Maid, Finance Option.",Dubai Land,"AED 1,275,000","1,915"
Bright and Spacious 3 Bed Legacy in Great location,"District 4, Jumeirah Park","AED 3,100,000","5,646"
"WA | 3 BHK, 3 Livings, Maids room, Vacant Unit","JVC District 10, JVC Jumeirah Village Circle","AED 1,500,000","3,075"
3BHK + MAID ! Near to the Entrance and Community Park ! Steal Deal !,"Noor Townhouses, NSHAMA Town Square","AED 1,299,600","2,000"
EMAAR EXPO GOLF VILLA | GREAT ROI | UNBEATABLE PRICE | CALL NOW,"Emaar South, Dubai South","AED 1,188,000","1,950"
3BHK M !! AMAZING LOCATION !! SINGLE ROW !! STEAL DEAL,"Gardenia Townhomes, Wasl Gate","AED 1,953,000","2,699"
Rented Ready Villa For Sale In Warsan Village 3bhk maid,"Al Warsan, International City","AED 1,400,000","2,013"
AL Furjan Quortaj Style 3BHK Plus Maid at Very Good Price,"Al Furjan Villas, Al Furjan","AED 2,300,000","3,842"
AFFORDABLE LUXURY VILLA I INSPIRING FAMILY HOME,"JVC District 11, JVC Jumeirah Village Circle","AED 2,000,000","3,500"
3 Bedroom Townhouse | Ready to Move in,"Maple 1, Maple at Dubai Hills Estate","AED 1,750,000","2,093"
Single Row l Corner Unit l 3BR +Maid Townhouse l Type B l,"Arabella Townhouses 2, Arabella Townhouses","AED 1,525,000","2,071"
Limited Time Offer !! 3BR Stylish Interiors l 50% DLD Waived l Mira Oasis l EMAAR I CALL NOW !!!,"Mira Oasis 2, Mira Oasis","AED 1,691,888","2,236"
Great Opportunity!! 3BR l Luxury Townhouse  l Town Square l CALL NOW AND BOOK!!!,"Safi, NSHAMA Town Square","AED 1,298,888","2,224"
Best Offer I Hurry Up !! 5 Years Post Hand Over l Cherrywood Townhouses l 3BR l CALL NOW AND BOOK !!,"Cherrywoods, Dubai Land","AED 1,625,000","2,233"
Casa Dora Middle Back To Back 3 Bed TH,"Casa Dora, Serena","AED 1,250,000","1,819"
3Bed with Maids Furnished Ready to Move,"The Woods, Akoya Oxygen","AED 1,650,000","2,459"
Vacant 3BR with study room available for Sale,"Mira Oasis 1, Mira Oasis","AED 1,450,000","2,287"
3BR I Vacant I with Maids,"Cedre Villas, Dubai Silicon Oasis","AED 2,299,900","3,850"
Motivated Seller I Golf Course Community,"Expo Golf Villas, Emaar South","AED 925,000","1,855"
Enchanting Community I Semi-Detached I Great Layout,Mudon,"AED 1,900,000","2,350"
Exclusive | Spacious | Private Swimming Pool,"District 9, Legacy Nova Villas","AED 2,599,000","3,524"
2 Mints walk to Pool and Park | Keys in hand |,"Casa Dora, Serena","AED 1,250,000","1,819"
Luxury Upgraded Duplex Podium Villa|Full Marina View,Dubai Marina,"AED 7,200,000","4,227"
Best Deal for Investor and End User | Type C | Near to Amenities,"Casa Dora, Serena","AED 1,250,000","2,016"
3 Bedroom Middle Unit Single Row,"Arabella Townhouses 2, Arabella Townhouses","AED 1,450,000","2,980"
Excellent Location | Single Row | 3 Bed + Maids,"Arabella Townhouses 2, Arabella Townhouses","AED 1,450,000","2,980"
3 Bedroom | Maids Room | Brand New,"Arabella Townhouses 2, Arabella Townhouses","AED 1,440,000","2,980"
Make an offer - Corner unit - Type A,"Palmera 3, Palmera","AED 2,550,000","2,936"
"Best condition, Pool And Park ,Corner Unit","The Springs 7, The Springs","AED 1,850,000","2,750"
Type E1 | Close to Park |Ready to Move | 3Bed+Maid,"Sidra Villas 1, Sidra Villas","AED 2,900,000","3,102"
Type A 3 Bedroom Semi Detached Villa For Sale in Casa Dora Serena Single Row on Pool and Park,"Casa Dora, Serena","AED 1,900,000","2,271"
Attractive Deal 3 Bedroom Villa For Sale in Club Villas Dubai Hills Estate opposite to Golf Course,"The Parkway at Dubai Hills, Dubai Hills","AED 2,900,000","3,000"
20 secs away to Pool  Park | Type 2M,"Maple 3, Maple at Dubai Hills Estate","AED 1,800,000","2,266"
3BRs+Maids+Study | Type H | Mira Oasis 1,Reem,"AED 1,800,000","2,286"
"Reduced Price 3BRs + M, Newly Handovered",Mudon,"AED 1,600,000","1,991"
"3BRs Mid Villa for Sale in Arabella,Mudon.",Mudon,"AED 1,500,000","1,984"
Type 1M at Pool and Park in Mira for Sale,Reem,"AED 2,430,000","2,347"
Fully Upgraded  Vacant Villa  for Sale..,"The Springs 10, The Springs","AED 1,840,000","4,149"
Amazing 3BR + Maid | Big Rooftop| Emaar 6 Towers,Dubai Marina,"AED 4,600,000","4,563"
Springs Type 2E Corner Plot Opposite Park view,"The Springs 14, The Springs","AED 2,185,000","2,700"
Jumeirah Park Upgraded Huge plot 7200 with Private Pool,Jumeirah Park,"AED 3,350,000","3,500"
Lovely 3 Bedrooms with Maids Townhouse at Al Furjan,"Al Furjan Villas, Al Furjan","AED 1,600,000","2,418"
Stylish Townhouse in Al Burooj Residence V at Al Furjan,"Al Furjan Villas, Al Furjan","AED 1,600,000","2,418"
3-BR Luxury Townhouse in Al Furjan,"Al Furjan Villas, Al Furjan","AED 1,600,000","2,418"
Stylish Townhouse in Al Burooj Residence V at Al Furjan,"Al Furjan Villas, Al Furjan","AED 1,600,000","2,418"
Exclusive | Brand New Townhouse | Serena,"Bella Casa, Serena","AED 1,210,000","1,820"
3B/R + Maids Type B Townhouse Quortaj at Al Furjan,"Al Furjan Villas, Al Furjan","AED 1,550,000","2,368"
Vacant I 3BR I Brand New,"Arabella Townhouses 2, Arabella Townhouses","AED 1,500,000","1,991"
Enchanting Community I Semi-Detached I Great Layout,Mudon,"AED 1,900,000","2,350"
2 Mints walk to Pool and Park | Keys in hand |,"Casa Dora, Serena","AED 1,250,000","1,819"
Motivated Seller I Golf Course Community,"Expo Golf Villas, Emaar South","AED 925,000","1,855"
Exclusive | Spacious | Private Swimming Pool,"District 9, Legacy Nova Villas","AED 2,599,000","3,524"
Luxury Upgraded Duplex Podium Villa|Full Marina View,Dubai Marina,"AED 7,200,000","4,227"
"Excellent Finishing, Spacious 3 bedroom call now","JVC District 14, JVC Jumeirah Village Circle","AED 2,400,000","3,600"
"Handed over soon, 3bed Villa, Motivated Seller","Aknan Villas, Vardon","AED 1,300,000","1,881"
3BR Townhouse Single Row in Arabian Ranches 2,"Camelia, Arabian Ranches 2","AED 1,600,000","1,988"
Modified 2M I Good Location,"Mira 5, Mira","AED 1,450,000","2,385"
BULK DEAL READY VILLA - 3 BED -BRAND NEW AKOYA,"The Woods, Akoya Oxygen","AED 765,000","1,700"
BULK DEAL READY VILLA  - 3 BED READY VILLA,"The Woods, Akoya Oxygen","AED 765,000","1,700"
Give Offer|2M|3BR|Near 2 Poo|Handed over,"Reem Community, Arabian Ranches 2","AED 1,650,000","2,193"
Corner Unit | 3BR Plus Maids Room For Sale in Damac Hills,DAMAC Hills (Akoya by DAMAC),"AED 1,600,000","2,723"
Priced to Grab | Need to be Quick,"Sidra Villas 1, Sidra Villas","AED 2,700,000","4,847"
Type C | Handover Ready | Close to Amenities | Serena,"Casa Dora, Serena","AED 1,250,000","2,016"
Brand New | Vacant | Single Row Townhouse,"Noor Townhouses, NSHAMA Town Square","AED 1,200,000","2,100"
Exclusive|New Phase |Vacant |Ready to Move In,"Al Furjan Villas, Al Furjan","AED 1,599,999","2,450"
Single Row | Next to Park|Handover in Q3- 2020,"Amaranta, Villanova","AED 1,300,000","1,894"
Brand New | Vacant Townhouse | Plus Maids Room,"Noor Townhouses, NSHAMA Town Square","AED 1,150,000","2,100"
Type B | Modern Style | Brand New | Maids Room,"Al Furjan Villas, Al Furjan","AED 2,200,000","3,252"
Ready | Claret 3br TH | Opposite Pool,"Aurum Villas, Juniper","AED 1,200,000","1,570"
95% Completed | Close to Pool | Single Row,"Arabella Townhouses 3, Arabella Townhouses","AED 1,400,000","1,544"
Ready to Move in 3br in Bella Casa,"Bella Casa, Serena","AED 1,600,000","1,800"
Maple | type 2M | 3br | Single Row | @1.85M,"Maple 2, Maple at Dubai Hills Estate","AED 1,850,000","2,228"
Mid unit | Rented | Arabella 3br Maid,"Arabella Townhouses 2, Arabella Townhouses","AED 1,500,000","1,984"
5 Years Free Service Charges | 50% Post Handover,Dubai Land,"AED 1,124,000","1,947"
Single Row  AR2 Reem Community Type 1M,"Reem Community, Arabian Ranches 2","AED 2,000,000","2,202"
Park View | 3BR Spacious Villa | Type9 | Saheel 1,Arabian Ranches,"AED 2,900,000","5,762"
Single Row Mira Oasis 3 Type C | Single Row,"Mira Oasis 3, Mira Oasis","AED 1,500,000","2,372"
فيلا للبيع في ارقي اماكن  الشارقه جاهزه علي التسليم,Dubai Land,"AED 1,350,000","2,000"
Enchanting Community I Semi-Detached I Great Layout,Mudon,"AED 1,900,000","2,350"
2 Mints walk to Pool and Park | Keys in hand |,"Casa Dora, Serena","AED 1,250,000","1,819"
Luxury Upgraded Duplex Podium Villa|Full Marina View,Dubai Marina,"AED 7,200,000","4,227"
Exclusive | Spacious | Private Swimming Pool,"District 9, Legacy Nova Villas","AED 2,599,000","3,524"
Motivated Seller I Golf Course Community,"Expo Golf Villas, Emaar South","AED 925,000","1,855"
Big Size Plot | Type THM1 | 3 BR+M Villa,"The Flora, DAMAC Hills (Akoya by DAMAC)","AED 1,480,000","2,723"
Near To Park | Type TH-M1 | 3 BR Villa,DAMAC Hills (Akoya by DAMAC),"AED 1,480,000","2,723"
MUDON | RAHAT |INDEPENDENT VILLA|CORNER PLOT |@2.6M,"Rahat Villas, Mudon","AED 2,600,000","3,574"
L-Shaped Garden  Corner unit w/ Big Plot Mira Oasis  1 type J,"Mira Oasis 1, Mira Oasis","AED 1,750,000","2,565"
Mira Oasis Phase 3 Type I on Discounted Price,"Mira Oasis 3, Mira Oasis","AED 1,350,000","2,236"
تملك فيلا بدبى من الفطيم وتمتع بحياه الجزر بالقسط على 6 سنوات,"Victory Heights, Dubai Sports City","AED 1,350,000","2,100"
Urgent Sale | 3 BR+M Villa in Brand new Cluster,"The Woods, Akoya Oxygen","AED 900,000","1,881"
Brand new Cluster | Brand new 3 BR+M Villa,Akoya Oxygen,"AED 895,000","1,881"
Brand New 3 BR+M Villa by Akoya,Akoya Oxygen,"AED 900,000","1,881"
Best Deal! Lowest price! 3 BR+M Villa,"The Woods, Akoya Oxygen","AED 890,000","1,881"
Big Size Plot | 3 BR+M Villa | TH-M,DAMAC Hills (Akoya by DAMAC),"AED 1,490,000","2,723"
TH-L | Vacant 3 BR+M Villa | Big Plot,DAMAC Hills (Akoya by DAMAC),"AED 2,200,000","3,680"
Near to park | 3 BR+M Villa | TH-M,DAMAC Hills (Akoya by DAMAC),"AED 1,485,000","2,723"
3 Bedroom villa for the amazing price / Damac,Akoya Oxygen,"AED 1,300,000","2,099"
Brand New and Cheapest 3 BR+M Villa,"Aknan Villas, Vardon","AED 680,000","1,696"
Best Deal For Investment  |Vacant | 2M,"Mira 5, Mira","AED 1,600,000","2,350"
"Type 2E|3 BED ROOM  MAID , MIRA 5","Mira 5, Mira","AED 1,760,000","2,550"
Corner Plot | Type A | Semi Detached | Arabella 2,"Arabella Townhouses 2, Arabella Townhouses","AED 1,900,000","2,040"
"Brand New  3 Bed M Laundry , Mira Oasis 2","Mira Oasis 2, Mira Oasis","AED 1,350,000","2,295"
Ready to move in | Type 2M | Back to Back,"Mira 4, Mira","AED 1,600,000","2,385"
Club Villa | 3br | Park View | @2.8M,"Club Villas at Dubai Hills, Dubai Hills Estate","AED 2,800,000","2,935"
Ready to Move in | Casa Type 2 | Back to back,"CASA at Arabian Ranches, Arabian Ranches 2","AED 2,500,000","3,143"
New Phase Townhouse | Vacant | Ready to Move in,"Al Furjan Villas, Al Furjan","AED 1,599,900","2,450"
Great Location |Single Row|Must See|Brand New,"Mira Oasis 3, Mira Oasis","AED 1,250,000","2,236"
Ready to Move in | Type A | Nice Location,"Mira, Reem","AED 1,350,000","2,295"
Luxury Upgraded Duplex Podium Villa|Full Marina View,Dubai Marina,"AED 7,200,000","4,227"
Exclusive | Spacious | Private Swimming Pool,"District 9, Legacy Nova Villas","AED 2,599,000","3,524"
Motivated Seller I Golf Course Community,"Expo Golf Villas, Emaar South","AED 925,000","1,855"
Enchanting Community I Semi-Detached I Great Layout,Mudon,"AED 1,900,000","2,350"
2 Mints walk to Pool and Park | Keys in hand |,"Casa Dora, Serena","AED 1,250,000","1,819"
3 Bedroom| Maids Room in Amaranta,"La Rosa, Villanova","AED 1,300,000","1,732"
Single Row - 3 BR + Maids - Amaranta Townhouse,"La Rosa, Villanova","AED 1,199,999","1,800"
Single Row Close to Pool -Park Brand New,"Arabella Townhouses 2, Arabella Townhouses","AED 1,500,000","1,991"
Upgraded 3 Bed|Modern Finishing|Spacious,"Al Furjan Villas, Al Furjan","AED 1,549,000","2,450"
No DLD Fee|Brand New TH | No Commission,"Al Furjan Villas, Al Furjan","AED 1,550,000","2,500"
New listing Priced to immediately sell..,"Mira 3, Mira","AED 1,325,000","2,554"
Spacious Villa | Type C Unit  | Single Row,"Mira Oasis 3, Mira Oasis","AED 1,350,000","2,372"
Community View| Post Years Payment Plan,"Warsan Village, Al Warsan","AED 1,327,000","2,015"
Spacious|Good Layout|Price Reduced,"Al Furjan Villas, Al Furjan","AED 1,600,000","2,418"
Ready Town Home| 10% ROI | Emaar Dubai South,Dubai,"AED 1,600,000","3,370"
Exclusive with Us |  Prime Location | Elan,"Tilal Al Ghaf, Dubai Land","AED 1,387,000","2,152"
Pay 25% and Move-In | 10% ROI | 100% DLD Waiver,"Maple 1, Maple at Dubai Hills Estate","AED 1,740,000","2,266"
Waterfront Living | Vibrant Community !,"Tilal Al Ghaf, Dubai Land","AED 1,330,000","2,159"
HUGE Proper Corner Vastu Plot 3E-B on Single Row,Mudon,"AED 1,624,950","2,071"
50% DLD Waiver | No Comm. | 50% PH Payment 3 Yrs.,"La Rosa, Villanova","AED 1,021,888","1,947"
Stunning 3 BR+Maid Hajar Stone Townhouse,"The Woods, Akoya Oxygen","AED 925,000","2,296"
"Exclusive 3Bed Mid Unit Type-C Maids Room,Best","Casa Dora, Serena","AED 1,225,000","1,819"
Luxury Living Townhouse | Golf Course View |,"Royal Golf Boutique Villas, Jumeirah Golf Estates","AED 2,400,000","2,012"
Great Deal | Type B | Rare Unit | Corner Unit,"Casa Dora, Serena","AED 2,000,000","1,936"
Motivated Seller | Middle Unit | Handover Q3 2020,"Villanova, Dubai Land","AED 1,150,000","1,733"
60% During Construction 40% in 3 Years Dec 2022,"Tilal Al Ghaf, Dubai Land","AED 1,250,000","2,152"
Prestige /Exclusive Beachfront Address/See view,The Palm Jumeirah,"AED 5,199,978","6,848"
New Phase | Vacant | Ready to Move In |Type B,"Al Furjan Villas, Al Furjan","AED 2,100,000","3,252"
No Agency Fee|5 Yrs Service Charges Free,"Al Furjan Villas, Al Furjan","AED 1,700,000","2,418"
New Phase | Near Community | Best Priced,"Al Furjan Villas, Al Furjan","AED 1,950,000","3,200"
2 Mints walk to Pool and Park | Keys in hand |,"Casa Dora, Serena","AED 1,250,000","1,819"
Motivated Seller I Golf Course Community,"Expo Golf Villas, Emaar South","AED 925,000","1,855"
Enchanting Community I Semi-Detached I Great Layout,Mudon,"AED 1,900,000","2,350"
Exclusive | Spacious | Private Swimming Pool,"District 9, Legacy Nova Villas","AED 2,599,000","3,524"
Luxury Upgraded Duplex Podium Villa|Full Marina View,Dubai Marina,"AED 7,200,000","4,227"
Semi-detached Contemporary House THM-1|Single Row,Dubai Land,"AED 1,850,000","2,064"
Exclusive deal Sidra | 3br | single row,"Sidra Villas 2, Sidra Villas","AED 2,899,000","4,520"
Type A | Mira Oasis | 3BR | Park Facing,"Mira Oasis 3, Mira Oasis","AED 1,299,999","2,295"
Type A| Fully Furnished | Upgraded |Corner TH,"Mira Oasis 3, Mira Oasis","AED 1,700,000","2,295"
3 BR Safi Townhouse Nshama Best Deal Ever,"Safi, NSHAMA Town Square","AED 1,225,000","2,025"
Brand New Lowest Priced Townhouse | Serena Dubai,"Casa Dora, Serena","AED 1,175,000","1,850"
Serviced and Furnished 3 bedroom Townhouse,"The Woods, Akoya Oxygen","AED 1,250,000","2,459"
Available end of June | Beautiful 4 Bed | Type 2E,"Al Reem 1, Arabian Ranches","AED 1,995,000","2,788"
"Beautiful Villa in Saheel, Arabian Ranches","Saheel, Arabian Ranches","AED 2,799,999","3,166"
Reduced!|Pool and park backing|upgraded|2M,Arabian Ranches,"AED 1,750,000","2,627"
Lovely 1M | Private Pool | Partial Lake View,"Al Reem 1, Arabian Ranches","AED 2,199,000","3,127"
3 Bedroom | Big plot | Brand new | Town Square,"Safi, NSHAMA Town Square","AED 1,300,800","2,022"
Beautiful A1 for Sale in Alvorada for an Investor,Arabian Ranches,"AED 3,299,999","3,765"
Beautiful Lake  road View corner plot 3 bedroom plus study,"The Springs 4, The Springs","AED 1,950,000","2,230"
Cheapest 3 Bedroom End Unit in the market,"Casa Dora, Serena","AED 1,299,999","2,270"
On the Green Belt | Near Pool  Park|3BR  TH,"Noor Townhouses, NSHAMA Town Square","AED 1,124,999","2,190"
NO COMMISSION / 3 BEDROOM/ GOLF COURSE \ OFFPLAN / PAY 5% UPON BOOKING / BOOK NOW !,"Golf Grove, Dubai Hills Estate","AED 3,000,000","2,930"
Amazing Upgraded 3 BR Duplex Marina view,Dubai Marina,"AED 2,699,999","2,631"
Corner 3 BR + M | Well maintained | Fully snagged,"Royal Golf Boutique Villas, Jumeirah Golf Estates","AED 1,900,000","1,931"
Ready to Move 3-BED Room Maid Corner unit Available,"Casa Dora, Serena","AED 1,300,000","3,500"
Type E1 | 3Beds+Maids | Multiple villas,Dubai Hills Estate,"AED 2,650,000","4,590"
"Type 2M | 3mins To Pool,Park | 3Bed+Maid",Reem,"AED 1,400,000","2,325"
Close to Pool  Park | Type 2M | 3Bed+Maid,"Maple 1, Maple at Dubai Hills Estate","AED 1,799,999","2,228"
Type 2M | VOT | Single row | Upgraded Garden,Reem,"AED 1,550,000","2,385"
3 Beds +Maids Room|Luxurious Style|Spacious Layout,"JVC District 11, JVC Jumeirah Village Circle","AED 1,800,000","1,878"
